bv1,bv2,bv3,severity,label
4331.541352927354,4321.655638078981,4311.854868567093,0.05,0
4331.541352927354,4310.226056391339,4289.2670209540065,0.1,0
4331.541352927354,4297.895896502513,4265.105815738536,0.15,0
4331.541352927354,4313.620240397405,4296.359117112708,0.5,0
4331.541352927354,4308.700216231953,4286.905738442099,0.6,0
4331.541352927354,4303.691010881385,4277.3690131757885,0.7,0
4331.541352927354,4298.832091129735,4268.20177074455,0.8,0
4331.541352927354,4284.661145997987,4239.411177921226,0.2,1
4331.541352927354,4270.534172035667,4212.277865022396,0.25,1
4331.541352927354,4255.546836661468,4183.817221188048,0.3,1
4331.541352927354,4320.4276132005425,4309.582839905938,0.35,1
4331.541352927354,4223.232997867499,4123.504467032838,0.4,1
4331.541352927354,4294.378480666796,4259.870063775969,0.9,1
4331.541352927354,4290.560142597753,4252.779866767052,1.0,1
6489.61328043363,6478.000301558898,6466.451627643505,0.05,0
6489.61328043363,6464.722383683739,6440.162766169659,0.1,0
6489.61328043363,6450.35814596374,6411.9441510080505,0.15,0
6489.61328043363,6467.335036781918,6445.891386958054,0.5,0
6489.61328043363,6461.218632448669,6434.163388932659,0.6,0
6489.61328043363,6454.966638669634,6422.293142871207,0.7,0
6489.61328043363,6448.878267696594,6410.845753658995,0.8,0
6489.61328043363,6434.893100302527,6381.820127058113,0.2,1
6489.61328043363,6418.330950646297,6349.855095077885,0.25,1
6489.61328043363,6400.697541939861,6316.159394713194,0.3,1
6489.61328043363,6475.758312692831,6462.233137802057,0.35,1
6489.61328043363,6362.453854756039,6244.274753856352,0.4,1
6489.61328043363,6443.276970899195,6400.410031304335,0.9,1
6489.61328043363,6438.458784982778,6391.505441760231,1.0,1
3566.9461086766673,3557.8709177172586,3548.8779088094566,0.05,0
3566.9461086766673,3547.2393740255498,3527.8839899682916,0.1,0
3566.9461086766673,3535.7891932583652,3505.457260890426,0.15,0
3566.9461086766673,3550.432761200676,3534.498899821574,0.5,0
3566.9461086766673,3545.8848072582005,3525.7345604356383,0.6,0
3566.9461086766673,3541.264106392863,3516.89852168763,0.7,0
3566.9461086766673,3536.7912730310945,3508.424035482071,0.8,0
3566.9461086766673,3523.5211719400827,3481.6815553018223,0.2,1
3566.9461086766673,3510.45100110764,3456.647860398211,0.25,1
3566.9461086766673,3496.6177025838415,3430.4113331332674,0.3,1
3566.9461086766673,3556.741061416706,3546.773093948653,0.35,1
3566.9461086766673,3466.918103545152,3376.087132691573,0.4,1
3566.9461086766673,3532.6990215301803,3500.730343342857,0.9,1
3566.9461086766673,3529.1936078586805,3494.190435616949,1.0,1
4445.448884511384,4435.4502084955375,4425.521556312743,0.05,0
4445.448884511384,4423.857545820122,4402.594410328407,0.1,0
4445.448884511384,4411.352859867194,4378.072485817981,0.15,0
4445.448884511384,4426.253712728788,4407.738442612922,0.5,0
4445.448884511384,4420.993030155928,4397.619642430965,0.6,0
4445.448884511384,4415.639852972879,4387.415402452501,0.7,0
4445.448884511384,4410.44997539668,4377.610048859608,0.8,0
4445.448884511384,4397.932406254337,4351.996834278783,0.2,1
4445.448884511384,4383.609075434832,4324.444447741683,0.25,1
